n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;11.2857;1.08061e-006;247.826;8.61731;0.935372;0;0
2;0.64164;1.08061e-006;247.826;2.02676;0.306803;0;0
3;0.780403;1.08061e-006;247.826;1.888;0.276002;-1.03097;1.58926
4;12.9559;1.08061e-006;247.826;10.2875;1.01231;-0.00191231;12.1296
5;0.884139;1.08061e-006;247.826;1.78426;0.251459;558.285;0
6;0.985802;1.08061e-006;247.826;1.6826;0.225981;-0.882083;0.914907
7;7.8587;1.08061e-006;247.826;5.1903;0.715192;-0.00900837;6.7328
8;1.2418;1.08061e-006;247.826;1.42661;0.154304;88.0625;1.259e-073
9;1.47565;1.08061e-006;247.826;1.19276;0.0765515;-0.747323;0.959911
10;4.31906;1.08061e-006;247.826;1.65066;0.217656;-0.0913729;2.48988
11;2.05593;1.08061e-006;247.826;0.612472;-0.212914;8.50741;0.00031168
12;2.38054;1.08061e-006;247.826;0.287861;-0.540818;-0.0709565;0.343979
13;2.75311;1.08061e-006;247.826;0.0847059;-1.07209;-9.97026;5.00459e-006
14;2.65879;1.08061e-006;247.826;0.00960792;-2.01737;1.68562;0.498155
15;2.6681;1.08061e-006;247.826;0.000299341;-3.52383;1.48271;0.308528
16;2.6684;1.08061e-006;247.826;1.08049e-006;-5.96638;1.63904;0.640938
17;2.6684;1.08061e-006;247.826;1.21218e-010;-9.91643;0;0
